The Kid,1921
M,1931
City Lights,1931
Modern Times,1936
The Great Dictator,1940
Citizen Kane,1941
Casablanca,1942
Double Indemnity,1944
It's a Wonderful Life,1946
Bicycle Thieves,1948
Sunset Boulevard,1950
Singin' in the Rain,1952
Seven Samurai,1954
Rear Window,1954
<<<<<<< HEAD
Witness for the Prosecution,1957
=======
>>>>>>> spider
12 Angry Men,1957
Witness for the Prosecution,1957
Paths of Glory,1957
Vertigo,1958
North by Northwest,1959
Psycho,1960
To Kill a Mockingbird,1962
Lawrence of Arabia,1962
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
"The Good, the Bad and the Ugly",1966
2001: A Space Odyssey,1968
Once Upon a Time in the West,1968
A Clockwork Orange,1971
The Godfather,1972
The Sting,1973
The Godfather: Part II,1974
One Flew Over the Cuckoo's Nest,1975
Monty Python and the Holy Grail,1975
Taxi Driver,1976
Star Wars: Episode IV - A New Hope,1977
Alien,1979
Apocalypse Now,1979
Star Wars: Episode V - The Empire Strikes Back,1980
<<<<<<< HEAD
The Shining,1980
Raiders of the Lost Ark,1981
=======
>>>>>>> spider
Das Boot,1981
Raiders of the Lost Ark,1981
Star Wars: Episode VI - Return of the Jedi,1983
Amadeus,1984
Once Upon a Time in America,1984
Back to the Future,1985
Aliens,1986
Full Metal Jacket,1987
Grave of the Fireflies,1988
Cinema Paradiso,1988
Goodfellas,1990
Terminator 2: Judgment Day,1991
The Silence of the Lambs,1991
Reservoir Dogs,1992
Schindler's List,1993
<<<<<<< HEAD
=======
The Shawshank Redemption,1994
Forrest Gump,1994
The Lion King,1994
>>>>>>> spider
Pulp Fiction,1994
Forrest Gump,1994
The Shawshank Redemption,1994
Léon: The Professional,1994
<<<<<<< HEAD
The Lion King,1994
Braveheart,1995
=======
>>>>>>> spider
The Usual Suspects,1995
Se7en,1995
<<<<<<< HEAD
Princess Mononoke,1997
Life Is Beautiful,1997
Saving Private Ryan,1998
American History X,1998
The Matrix,1999
American Beauty,1999
The Green Mile,1999
Fight Club,1999
Gladiator,2000
=======
Toy Story,1995
Braveheart,1995
Life Is Beautiful,1997
Princess Mononoke,1997
Saving Private Ryan,1998
American History X,1998
Fight Club,1999
The Matrix,1999
American Beauty,1999
The Green Mile,1999
Gladiator,2000
Snatch,2000
Requiem for a Dream,2000
>>>>>>> spider
Memento,2000
Requiem for a Dream,2000
Snatch,2000
Amélie,2001
Spirited Away,2001
The Lord of the Rings: The Fellowship of the Ring,2001
<<<<<<< HEAD
=======
The Pianist,2002
The Lord of the Rings: The Two Towers,2002
>>>>>>> spider
City of God,2002
The Pianist,2002
The Lord of the Rings: The Two Towers,2002
The Lord of the Rings: The Return of the King,2003
Oldboy,2003
Eternal Sunshine of the Spotless Mind,2004
<<<<<<< HEAD
The Lives of Others,2006
The Departed,2006
The Prestige,2006
=======
The Prestige,2006
The Lives of Others,2006
The Departed,2006
>>>>>>> spider
Like Stars on Earth,2007
WALL·E,2008
The Dark Knight,2008
Inglourious Basterds,2009
<<<<<<< HEAD
=======
3 Idiots,2009
Inception,2010
>>>>>>> spider
Toy Story 3,2010
Inception,2010
The Intouchables,2011
The Dark Knight Rises,2012
<<<<<<< HEAD
Whiplash,2014
Interstellar,2014
=======
Django Unchained,2012
Interstellar,2014
Whiplash,2014
>>>>>>> spider
Dangal,2016
Logan,2017
